         Turbine Number(m)   Turbine Location-X(m)   Turbine Location-Y(m)    POWER(W)
           1   1285.27136029949        138.172754166248        374165.912552463     
           2   1352.47411975851       -158.568205462000        374165.912552463     
           3   1409.76453038623       -458.212446104312        374165.912552463     
           4   1624.28563170240        439.163694702929        374165.912552463     
           5   1691.48839116142        142.422735074681        216069.739288972     
           6   1743.84587196239       -157.268445149524        213411.537942213     
           7   1812.41548066414       -455.563986119361        215013.531022937     
           8   1869.36938214411       -755.506993549456        374165.912552463     
           9   1960.86208127941        737.990235843669        374165.912552463     
          10   2028.05736275736        441.242636953470        215542.806560759     
          11   2082.57344241143        139.135230127435        123538.060755672     
          12   2149.27863119501       -152.150179718899        123247.283987394     
          13   2203.79471084908       -454.257586544934        122938.301692735     
          14   2276.65992203296       -757.391381261273        216069.739288970     
          15   2297.43853085641        1036.81677698441        374165.912552463     
          16   2367.07163416027        742.233577490151        215542.806560756     
          17   2540.37116042608       -155.431045404194        80755.3239297135     
          18   2613.23637160997       -458.564840120533        80912.6780183283     
          19   2636.45280225932        1337.80771752109        374165.912552463     
          20   2672.33475470003       -760.923235433348        124157.664866055     
          21   2701.21026191137        1038.89571923495        215542.806560755     
          22   2758.16416339134        738.952711804855        123238.846237671     
          23   2822.43153034902        445.502902562582        152424.930047419     
          24   2879.09873087513        140.972629872765        99017.7379587972     
          25   2954.39512462296       -159.989287466573        57833.6408967016     
          26   3008.91120427703       -462.096694292608        58700.6074938099     
          27   3040.51123426814        1344.47392503135        215542.806560755     
          28   3073.18521049666       -755.553981515943        81262.2026943609     
          29   3094.73313498728        1037.77261368364        123548.583894506     
          30   3163.59692262397        744.070977235480        80837.2597262120     
          31   3218.11300227803        441.963570409445        115502.013676523     
          32   3290.97157419997        138.837253674167        94144.9949935953     
          33   3347.63129674501       -165.699658277601        44917.0873149217     
          34   3412.19948189957       -454.563040979262        44317.3307404596     
          35   3433.26133762122        1338.33200219353        123548.583894506     
          36   3468.85256518266       -759.092474949969        57969.7702708959     
          37   3498.02225132893        1045.32038424000        80992.0119674044     
          38   3554.68197387398        740.783472288235        58131.6794873407     
          39   3627.54054579591        437.657155552956        73388.1381087719     
          40   3684.49444727588        137.714148122862        61207.1318621451     
          41   3748.77593147657       -155.736499838523        35561.6984771788     
          42   3813.04329843425       -449.186309080796        35313.3427381885     
          43   3869.69638171735       -753.715743051503        43752.5966552077     
          44   4000.28310477805        435.388560514953        51584.1949900128     
          45   4085.34490307252        143.083402040267        43775.5283262826     
          46   4151.75675164029       -152.781795084728        29773.9809124483     
          47   4206.27283129435       -454.889201910763        28958.2957928954     
          48   4271.85477211828       -749.819651403125        35119.6631647818     
